sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
67,0.002161636211676523,-0.001114068972310633,0.0027843773077620426,-0.0014342838267111802,0.0027843773077620426,-0.0014342838267111802,0.0,0.0,[],0.015892275,0.9833334,1.2538029,0.14140469
68,0.0022183486102221647,-0.0011433391890568597,0.002835619927282096,-0.0014635108373113326,0.002835619927282096,-0.0014635108373113326,0.0,0.0,[],0.015892206,0.9833334,1.2538029,0.14140469
69,0.0022760533798282263,-0.0011731821117064098,0.0028852384803030873,-0.001492146132477501,0.0028852384803030873,-0.001492146132477501,0.0,0.0,[],0.015892113,0.9833334,1.2538029,0.14140469
70,0.0023347191557331823,-0.0012035861457661665,0.0029332887952477904,-0.0015202017029878334,0.0029332887952477904,-0.0015202017029878334,0.0,0.0,[],0.015891992,0.9833334,1.2538029,0.14140469
71,0.002394315463970997,-0.0012345399235709916,0.0029798154118907405,-0.001547688890241261,0.0029798154118907405,-0.001547688890241261,0.0,0.0,[],0.01589184,0.9833334,1.2538029,0.14140469
72,0.0024548209179556576,-0.0012660322753254146,0.003025272699233028,-0.00157461758772115,0.003025272699233028,-0.00157461758772115,0.0,0.0,[],0.015891656,0.9833334,1.2538029,0.14140469
73,0.0025162066417396996,-0.0012980522887301046,0.003069286189202103,-0.001601000670234498,0.003069286189202103,-0.001601000670234498,0.0,0.0,[],0.015891433,0.9833334,1.2538029,0.14140469
74,0.0025784446577381457,-0.0013305892651806058,0.003111900799922296,-0.0016268488225250621,0.003111900799922296,-0.0016268488225250621,0.0,0.0,[],0.015891168,0.9833334,1.2538029,0.14140469
75,0.0026415296991035573,-0.001363638788607204,0.00315425206827058,-0.0016524761713299085,0.00315425206827058,-0.0016524761713299085,0.0,0.0,[],0.015890859,0.9833334,1.2538029,0.14140469
76,0.0027054348279853,-0.001397190461048012,0.0031952564440871356,-0.0016775836220404017,0.0031952564440871356,-0.0016775836220404017,0.0,0.0,[],0.015890503,0.9833334,1.2538029,0.14140469
77,0.0027701271689875282,-0.0014312344783684236,0.00323461705011141,-0.0017022008660205756,0.00323461705011141,-0.0017022008660205756,0.0,0.0,[],0.015890095,0.9833334,1.2538029,0.14140469
78,0.0028355817149349604,-0.0014657608401284958,0.0032727272973716026,-0.0017263180880036089,0.0032727272973716026,-0.0017263180880036089,0.0,0.0,[],0.015889632,0.9833334,1.2538029,0.14140469
79,0.0029017682958510705,-0.0015007597539806736,0.003309329045805498,-0.0017499456926088897,0.003309329045805498,-0.0017499456926088897,0.0,0.0,[],0.01588911,0.9833334,1.2538029,0.14140469
80,0.0029686626307011466,-0.0015362216783432812,0.003344716742503806,-0.0017730962181303767,0.003344716742503806,-0.0017730962181303767,0.0,0.0,[],0.015888527,0.9833334,1.2538029,0.14140469
81,0.003036242131420295,-0.0015721371981999254,0.00337897503595741,-0.0017957759928322048,0.00337897503595741,-0.0017957759928322048,0.0,0.0,[],0.015887877,0.9833334,1.2538029,0.14140469
82,0.003104484272444097,-0.0016084970823976618,0.0034121070511901053,-0.0018179942098868196,0.0034121070511901053,-0.0018179942098868196,0.0,0.0,[],0.01588716,0.9833334,1.2538029,0.14140469
83,0.003173367883646279,-0.0016452922796452185,0.003444180560109089,-0.0018397598623778322,0.003444180560109089,-0.0018397598623778322,0.0,0.0,[],0.015886368,0.9833334,1.2538029,0.14140469
84,0.00324287248255132,-0.0016825139157481317,0.0034752299452520674,-0.001861081805145659,0.0034752299452520674,-0.001861081805145659,0.0,0.0,[],0.015885502,0.9833334,1.2538029,0.14140469
85,0.003312996180829941,-0.0017201511040184415,0.0035061849139310652,-0.0018818594135154854,0.0035061849139310652,-0.0018818594135154854,0.0,0.0,[],0.015884556,0.9833334,1.2538029,0.14140469
86,0.0033837191798011187,-0.0017581953649460048,0.0035361499485588865,-0.001902213046378165,0.0035361499485588865,-0.001902213046378165,0.0,0.0,[],0.015883526,0.9833334,1.2538029,0.14140469
87,0.003455022262096463,-0.001796638373489259,0.0035651541147672106,-0.0019221504271627055,0.0035651541147672106,-0.0019221504271627055,0.0,0.0,[],0.01588241,0.9833334,1.2538029,0.14140469
88,0.0035268868601269782,-0.0018354719736635163,0.003593229901525774,-0.001941680008712865,0.003593229901525774,-0.001941680008712865,0.0,0.0,[],0.015881205,0.9833334,1.2538029,0.14140469
89,0.0035992948786224585,-0.0018746881652259618,0.003620400924774003,-0.00196080957812228,0.003620400924774003,-0.00196080957812228,0.0,0.0,[],0.015879907,0.9833334,1.2538029,0.14140469
