sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
21,-0.0008843071098090149,-0.00014412916843866696,-0.0035687163181137294,-0.0005812915023852838,-0.0035687163181137294,-0.0005812915023852838,0.0,0.0,[],0.01,-60,-60,0.13442126
22,-0.0009581113565945998,-0.0001561222891905345,-0.003690212339279242,-0.0005996560375933768,-0.003690212339279242,-0.0005996560375933768,0.0,0.0,[],0.01,-60,-60,0.13442126
23,-0.0010342877432412932,-0.00016847535469423746,-0.0038088193323346786,-0.0006176532751851482,-0.0038088193323346786,-0.0006176532751851482,0.0,0.0,[],0.01,-60,-60,0.13442126
24,-0.0011127708565618376,-0.00018118117906851694,-0.003924155666027218,-0.0006352912187139736,-0.003924155666027218,-0.0006352912187139736,0.0,0.0,[],0.01,-60,-60,0.13442126
25,-0.0011934965431282761,-0.00019423263445787599,-0.004036284328321926,-0.0006525727694679517,-0.004036284328321926,-0.0006525727694679517,0.0,0.0,[],0.01,-60,-60,0.13442126
26,-0.0012764051847625523,-0.00020762277410540266,-0.004145432081713807,-0.0006695069823763333,-0.004145432081713807,-0.0006695069823763333,0.0,0.0,[],0.01,-60,-60,0.13442126
27,-0.0013616097488556988,-0.00022135634768346793,-0.004260228204657324,-0.0006866786789032631,-0.004260228204657324,-0.0006866786789032631,0.0,0.0,[],0.01,-60,-60,0.13442126
28,-0.0014490466800634748,-0.00023542643408291044,-0.0043718465603888035,-0.0007035043199721258,-0.0043718465603888035,-0.0007035043199721258,0.0,0.0,[],0.01,-60,-60,0.13442126
29,-0.0015387028480472508,-0.00024982619073853134,-0.004482808399188798,-0.0007199878327810438,-0.004482808399188798,-0.0007199878327810438,0.0,0.0,[],0.01,-60,-60,0.13442126
30,-0.0016304802856757304,-0.0002645492864394328,-0.004588871881423984,-0.0007361547850450734,-0.004588871881423984,-0.0007361547850450734,0.0,0.0,[],0.01,-60,-60,0.13442126
31,-0.0017243180843070148,-0.0002795887507090811,-0.004691889931564219,-0.0007519732134824153,-0.004691889931564219,-0.0007519732134824153,0.0,0.0,[],0.01,-60,-60,0.13442126
32,-0.0018201276185573077,-0.00029493778441974433,-0.004790476712514646,-0.0007674516855331603,-0.004790476712514646,-0.0007674516855331603,0.0,0.0,[],0.01,-60,-60,0.13442126
33,-0.0019178534975799264,-0.0003105901519847976,-0.004886293951130938,-0.0007826183782526641,-0.004886293951130938,-0.0007826183782526641,0.0,0.0,[],0.01,-60,-60,0.13442126
34,-0.002017442570795538,-0.00032653968462909694,-0.004979453660780564,-0.0007974766322149662,-0.004979453660780564,-0.0007974766322149662,0.0,0.0,[],0.01,-60,-60,0.13442126
35,-0.0021188431257905906,-0.0003427803341764957,-0.005070027749752626,-0.0008120324773699394,-0.005070027749752626,-0.0008120324773699394,0.0,0.0,[],0.01,-60,-60,0.13442126
36,-0.002222066238464322,-0.0003593037545761036,-0.005161155633686576,-0.0008261710199803929,-0.005161155633686576,-0.0008261710199803929,0.0,0.0,[],0.01,-60,-60,0.13442126
37,-0.0023270614838111214,-0.0003761041954203393,-0.005249762267339975,-0.0008400220422117854,-0.005249762267339975,-0.0008400220422117854,0.0,0.0,[],0.01,-60,-60,0.13442126
38,-0.0024337797885527835,-0.00039317602195296794,-0.0053359152370831,-0.000853591326631431,-0.0053359152370831,-0.000853591326631431,0.0,0.0,[],0.01,-60,-60,0.13442126
39,-0.002542186641221633,-0.00041051349206099996,-0.005420342633442488,-0.0008668735054015997,-0.005420342633442488,-0.0008668735054015997,0.0,0.0,[],0.01,-60,-60,0.13442126
40,-0.0026522437723178883,-0.00042811136225282106,-0.005502856554812752,-0.0008798935095910565,-0.005502856554812752,-0.0008798935095910565,0.0,0.0,[],0.01,-60,-60,0.13442126
41,-0.002763903735612985,-0.00044596427011128986,-0.005582998164754827,-0.0008926453929234412,-0.005582998164754827,-0.0008926453929234412,0.0,0.0,[],0.01,-60,-60,0.13442126
42,-0.002877176571346354,-0.00046407201838519544,-0.00566364178666845,-0.00090538741369528,-0.00566364178666845,-0.00090538741369528,0.0,0.0,[],0.01,-60,-60,0.13442126
43,-0.002992017620126717,-0.00048242941500575403,-0.005742052439018153,-0.0009178698310279287,-0.005742052439018153,-0.0009178698310279287,0.0,0.0,[],0.01,-60,-60,0.13442126
44,-0.0031083834861055947,-0.0005010313719503756,-0.0058182932989439,-0.0009300978472310817,-0.0058182932989439,-0.0009300978472310817,0.0,0.0,[],0.01,-60,-60,0.13442126
45,-0.003226243671088014,-0.0005198729076437304,-0.005893009249120951,-0.0009420767846677336,-0.005893009249120951,-0.0009420767846677336,0.0,0.0,[],0.01,-60,-60,0.13442126
46,-0.003345556762214983,-0.0005389491381538392,-0.005965654556348454,-0.0009538115255054436,-0.005965654556348454,-0.0009538115255054436,0.0,0.0,[],0.01,-60,-60,0.13442126
47,-0.00346628193219658,-0.0005582552824671439,-0.00603625849907985,-0.0009653072156652343,-0.00603625849907985,-0.0009653072156652343,0.0,0.0,[],0.01,-60,-60,0.13442126
48,-0.0035883771718363275,-0.0005777862413378898,-0.006104761981987394,-0.0009765479435372981,-0.006104761981987394,-0.0009765479435372981,0.0,0.0,[],0.01,-60,-60,0.13442126
49,-0.00371180452639237,-0.0005975374280933466,-0.006171367727802135,-0.0009875593377728364,-0.006171367727802135,-0.0009875593377728364,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
50,-0.0038365265434549653,-0.0006174996643676423,-0.006236100853129756,-0.000998111813714786,-0.006236100853129756,-0.000998111813714786,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
51,-0.00396250683159451,-0.0006376687430929451,-0.006299014406977221,-0.0010084539362651412,-0.006299014406977221,-0.0010084539362651412,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
52,-0.004089899063837947,-0.0006580700292397524,-0.006369611612171866,-0.0010200643073403626,-0.006369611612171866,-0.0010200643073403626,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
53,-0.004218706544052111,-0.000678700469143223,-0.006440374010708183,-0.0010315219951735344,-0.006440374010708183,-0.0010315219951735344,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
54,-0.004348923362267669,-0.0006995469579305792,-0.006510840910777915,-0.0010423244393678033,-0.006510840910777915,-0.0010423244393678033,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
55,-0.004480510455323383,-0.0007206050903732831,-0.006579354652785696,-0.0010529066221351968,-0.006579354652785696,-0.0010529066221351968,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
56,-0.004613429880846525,-0.0007418705530108129,-0.00664597127615707,-0.0010632731318764854,-0.00664597127615707,-0.0010632731318764854,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
57,-0.0047476447152439505,-0.0007633391180206674,-0.006710741719871294,-0.001073428250492725,-0.006710741719871294,-0.001073428250492725,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
58,-0.004883119103033096,-0.000785006643873203,-0.006773719389457256,-0.001083376292626781,-0.006773719389457256,-0.001083376292626781,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
59,-0.005019818231085083,-0.0008068690702202732,-0.006834956402599346,-0.001093121317353507,-0.006834956402599346,-0.001093121317353507,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
60,-0.005157708141996409,-0.0008289224221880433,-0.006894495545566315,-0.001102667598388507,-0.006894495545566315,-0.001102667598388507,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
61,-0.0052967558551608816,-0.0008511628053565802,-0.006952385658223648,-0.0011120191584268468,-0.006952385658223648,-0.0011120191584268468,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
62,-0.005436929308852995,-0.0008735864054870037,-0.007008672684605699,-0.0011211800065211719,-0.007008672684605699,-0.0011211800065211719,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
63,-0.005578179431759054,-0.0008961904620809947,-0.007062506145302905,-0.0011302028296995559,-0.007062506145302905,-0.0011302028296995559,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
64,-0.0057204764013295065,-0.0009189712949410024,-0.007114848478522617,-0.0011390416430003825,-0.007114848478522617,-0.0011390416430003825,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
65,-0.005863791225056048,-0.0009419252977204452,-0.007165741186327068,-0.0011477001389721408,-0.007165741186327068,-0.0011477001389721408,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
66,-0.006008095154320472,-0.0009650490003696179,-0.0072151964632212184,-0.0011561851324586314,-0.0072151964632212184,-0.0011561851324586314,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
67,-0.006153360831958708,-0.0009883389381866439,-0.007263283881911775,-0.0011644968908512965,-0.007263283881911775,-0.0011644968908512965,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
68,-0.00629956644923368,-0.0010117920543780204,-0.0073102808637486305,-0.0011726558095688233,-0.0073102808637486305,-0.0011726558095688233,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
69,-0.006446686035851599,-0.0010354050175192244,-0.007355979330895934,-0.0011806481570602045,-0.007355979330895934,-0.0011806481570602045,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
70,-0.006594701763096964,-0.0010591750434286954,-0.0074007863622682635,-0.001188501295473543,-0.0074007863622682635,-0.001188501295473543,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
71,-0.006743543151096674,-0.0010830990446811487,-0.007442069399985485,-0.0011962000626226654,-0.007442069399985485,-0.0011962000626226654,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
72,-0.006893187540190411,-0.001107173879945549,-0.007482219454686856,-0.0012037417632200231,-0.007482219454686856,-0.0012037417632200231,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
73,-0.007043612878260319,-0.0011313964704186222,-0.007521266903495416,-0.0012111295236536535,-0.007521266903495416,-0.0012111295236536535,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
74,-0.0071947976998490044,-0.0011557638033900734,-0.007559241079434287,-0.0012183666485725553,-0.007559241079434287,-0.0012183666485725553,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
75,-0.007346721129069919,-0.00118027292417537,-0.007596171461045742,-0.0012254560392648273,-0.007596171461045742,-0.0012254560392648273,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
76,-0.00749936289517791,-0.0012049209388078456,-0.00763208830539952,-0.001232400731623784,-0.00763208830539952,-0.001232400731623784,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
77,-0.007652759023112594,-0.0012297087732349614,-0.007669806396734202,-0.001239391721355787,-0.007669806396734202,-0.001239391721355787,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
78,-0.007806888793347753,-0.0012546335762999665,-0.007706488511757925,-0.0012462401532502554,-0.007706488511757925,-0.0012462401532502554,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
79,-0.007961732137337094,-0.0012796925532620666,-0.007742167199467076,-0.0012529488481050066,-0.007742167199467076,-0.0012529488481050066,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
80,-0.008117268524729297,-0.0013048829526997,-0.007776819369610166,-0.001259519971881673,-0.007776819369610166,-0.001259519971881673,0.0,0.0,[],0.01,0.9833334,-60,0.13442126
81,-0.00827347898390144,-0.0013302020943410757,-0.00781052295860718,-0.0012659570820687804,-0.00781052295860718,-0.0012659570820687804,0.0,0.0,[],0.01,0.9833334,1.6308833,0.13442126
82,-0.008430345047891023,-0.001355647353420864,-0.007843303199479124,-0.0012722629539894115,-0.007843303199479124,-0.0012722629539894115,0.0,0.0,[],0.01,0.9833334,1.6308833,0.13442126
83,-0.008587848771057907,-0.0013812161593523347,-0.00787518615834415,-0.0012784402965735353,-0.00787518615834415,-0.0012784402965735353,0.0,0.0,[],0.01,0.9833334,1.6308833,0.13442126
