sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,0.000356227969750762,0.0002877865079790354,0.0178113984875381,0.014389325398951769,0.003940093796700239,-0.002496491651982069,0.0,0.0,[0.05366677],1,-60,-60,0.1410032,-16.503735,13.649378
1,0.0026750701980199666,0.00047436622589884796,0.11594211141346022,0.009328985895990627,0.005102187511511147,-0.00496666831895709,7.124559488147497e-06,5.755729944212362e-06,[0.05366356],1,-60,-60,0.1410032,-16.503735,13.649378
2,0.0054724208547122545,0.0006138557424310421,0.1398675328346144,0.006974475826609705,0.00505688456541975,-0.007392916362732649,6.062596366973594e-05,1.5243053894664627e-05,[0.05366216],1,-60,-60,0.14100358,-16.503735,13.649378
3,0.0081341339944629,0.000736879039050109,0.13308565698753227,0.006151164830953348,0.005271952646580758,-0.009817689191550016,0.00017007437418214977,2.752016735030338e-05,[0.05366136],1,-60,-60,0.14100432,-16.503735,13.649378
4,0.010890060486635775,0.0007926838521416358,0.13779632460864377,0.002790240654576337,0.0050955974620592315,-0.012148518115282059,0.00033275707392022014,4.225774682709016e-05,[0.05366044],1,-60,-60,0.14100517,-16.503735,13.649378
5,0.013571260218595853,0.0007776803867636773,0.1340599865980039,-0.0007501732688979246,0.005170237247511977,-0.014374250313267112,0.0005505582666955888,5.81114218221046e-05,[0.05365973],1,-60,-60,0.14100663,-16.503735,13.649378
6,0.016276353526627645,0.0007094517514087785,0.1352546654015896,-0.0034114317677449435,0.00518000603915425,-0.01647559250704944,0.0008219834417104721,7.36650254111737e-05,[0.05365896],1,-60,-60,0.14100859,-16.503735,13.649378
7,0.01897683390183374,0.0005799828153431009,0.1350240187603049,-0.006473446803283878,0.005220616410952061,-0.018512959592044353,0.0011475104838609695,8.785405952949077e-05,[0.05365828],1,-60,-60,0.14101067,-16.503735,13.649378
8,0.02068126470898278,0.0003516029880302086,0.08522154035745189,-0.011418991365644615,0.00631643325323239,-0.020470541901886463,0.0015270471340045333,9.945371857611462e-05,[0.0536576],1,-60,-60,0.1410131,-16.503735,13.649378
9,0.022234889091923834,7.477791654309852e-05,0.07768121914705262,-0.013841253574355505,0.007651994994375855,-0.02235532517079264,0.0019406724022701383,0.00010648577881511301,[0.05365646],1,-60,-60,0.14101577,-16.503735,13.649378
10,0.024359516670228915,-0.0002623136318834439,0.10623137891525403,-0.01685457742132712,0.008848035999108106,-0.02414019324351102,0.0023853702004998922,0.00010798133735079318,[0.05365521],1,-60,-60,0.14101867,-16.503735,13.649378
11,0.026550592351704837,-0.0007182007388291821,0.10955378407379612,-0.02279435534728691,0.009566564520355314,-0.02577388845384121,0.002872560638934374,0.00010273506632074714,[0.05365406],1,-60,-60,0.14102209,-16.503735,13.649378
12,0.029022988022770733,-0.001218190938434418,0.12361978355329484,-0.02499950998026179,0.010335290688090026,-0.027337840292602777,0.003403572365641594,8.837105269776657e-05,[0.05365321],1,-60,-60,0.1410256,-16.503735,13.649378
13,0.030856837106402964,-0.0015980751069400866,0.09169245418161154,-0.018994208425283432,0.011424344964325428,-0.029000802664086223,0.0039840321987867355,6.400723941624165e-05,[0.05365237],1,-60,-60,0.14102934,-16.503735,13.649378
14,0.03311312661971897,-0.0020294621420725886,0.11281447566580027,-0.02156935175662511,0.012836836627684534,-0.030664793448522687,0.004601168911904097,3.2045736588770524e-05,[0.05365131],1,-60,-60,0.14103372,-16.503735,13.649378
15,0.03608954461058602,-0.0025069562804674204,0.14882089954335243,-0.023874706919741584,0.014028406352736056,-0.03224852483253926,0.005263431463390589,-8.543505828129128e-06,[0.05365001],1,-60,-60,0.1410383,-16.503735,13.649378
16,0.038901283519808205,-0.003026189871070528,0.14058694546110928,-0.02596167953015538,0.014666865346953273,-0.0337631480069831,0.005985222291201353,-5.868262815056369e-05,[0.05364884],1,-60,-60,0.14104299,-16.503735,13.649378
17,0.04198106788331643,-0.0035709376921840884,0.15398921817541122,-0.027237391055678017,0.01493174396455288,-0.03524189617019147,0.006763247773051262,-0.00011920642282348126,[0.05364805],1,-60,-60,0.14104845,-16.503735,13.649378
18,0.04516328441997758,-0.004155767496322369,0.15911082683305722,-0.029241490206914023,0.015063431041198783,-0.03667037305422127,0.007602869067341089,-0.00019062517094425857,[0.05364747],1,-60,-60,0.14105414,-16.503735,13.649378
19,0.047550289942300886,-0.004955853911578743,0.11935027611616533,-0.04000432076281868,0.015934907060000114,-0.0378593560308218,0.00850613508373499,-0.00027374053024686873,[0.05364697],1,-60,-60,0.14106028,-16.503735,13.649378
20,0.049647998758882754,-0.00578213299600975,0.10488544082909357,-0.041313954221550375,0.017803315582568757,-0.03895690629724413,0.009457141160964966,-0.00037285761209204793,[0.05364622],1,-60,-60,0.14106692,-16.503735,13.649378
21,0.05203124949824997,-0.006668036026876507,0.11916253696836066,-0.04429515154333785,0.018364100527833216,-0.04004352819174528,0.01045010145753622,-0.0004885002854280174,[0.05364496],1,-60,-60,0.14107381,-16.503735,13.649378
22,0.054327224814041994,-0.007573065615488303,0.11479876578960102,-0.045251479430589825,0.01955263146373909,-0.04108153213746846,0.011490726843476295,-0.0006218610215000808,[0.05364438],1,-60,-60,0.14108115,-16.503735,13.649378
23,0.057102749847690586,-0.008529554202450527,0.13877625168242957,-0.04782442934811115,0.020178839200525545,-0.042261673137545586,0.012577271088957787,-0.0007733223028481007,[0.05364347],1,-60,-60,0.14108872,-16.503735,13.649378
24,0.058563840611896026,-0.00956874930741833,0.07305453821027186,-0.05195975524839014,0.02167906529211905,-0.04328976443503052,0.013719325885176659,-0.0009439133573323488,[0.05364279],1,-60,-60,0.14109667,-16.503735,13.649378
25,0.06061305028910284,-0.010629765153626068,0.1024604838603409,-0.053050792310386896,0.021781818781164475,-0.04427689127624035,0.01489060278981924,-0.0011352882720530033,[0.0536419],1,-60,-60,0.1411051,-16.503735,13.649378
26,0.061781273773813164,-0.011662705810504121,0.05841117423551623,-0.05164703284390271,0.02275319655018393,-0.04527758411131799,0.01610286347568035,-0.0013478836044669151,[0.05364156],1,-60,-60,0.14111376,-16.503735,13.649378
27,0.06330588904675097,-0.012680206934219312,0.07623076364689041,-0.050875056185759604,0.023451524975826032,-0.04630105511751026,0.01733848825097084,-0.0015811377670615911,[0.0536409],1,-60,-60,0.1411225,-16.503735,13.649378
28,0.06431382797221886,-0.013725083213994366,0.05039694627339486,-0.05224381398875266,0.02429303248936776,-0.04727758117951453,0.01860460638999939,-0.0018347419099882245,[0.05364037],1,-60,-60,0.1411315,-16.503735,13.649378
