sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-0.0024702621251344683,-9.773038327693939e-05,-0.1235131062567234,-0.00488651916384697,-0.02364269271492958,-0.0015502721071243286,0.0,0.0,[0.03516374],1,-60,-60,0.057667118,-7.0089436,2.460813
1,-0.006757746255534585,-0.00022216126334114963,-0.21437420652000583,-0.006221544003210511,-0.04635123908519745,-0.00301202735863626,-4.940524013363756e-05,-1.9546075691323495e-06,[0.0350711],1,-60,-60,0.057666726,-7.0089436,2.460813
2,-0.012809115155760083,-0.0003661842110568614,-0.3025684450112749,-0.007201147385785589,-0.06649376824498177,-0.004329857416450977,-0.00018456016550771892,-6.3978332036640495e-06,[0.03497881],1,-60,-60,0.057665575,-7.0089436,2.460813
3,-0.020632439142718798,-0.000543457682110784,-0.3911661993479356,-0.008863673552696127,-0.08604840934276581,-0.0055386003805324435,-0.00044074247125536203,-1.3721517461817712e-05,[0.03489728],1,-60,-60,0.05766375,-7.0089436,2.460813
4,-0.029914785326618586,-0.0007337171954395672,-0.4641173091949895,-0.00951297566643916,-0.10378711670637131,-0.006700588040985167,-0.0008533912478014827,-2.459067036397755e-05,[0.03481687],1,-60,-60,0.057660293,-7.0089436,2.460813
5,-0.040167976749289666,-0.0009502025507072177,-0.512659571133554,-0.010824267763382522,-0.11910030990839005,-0.0077897016890347,-0.0014516869559884071,-3.926501449313946e-05,[0.03474702],1,-60,-60,0.05765586,-7.0089436,2.460813
6,-0.051623510873105266,-0.001187073651276478,-0.5727767061907798,-0.011843555028463015,-0.13311710488051176,-0.008709483838174492,-0.00225504650734365,-5.826906635775231e-05,[0.03468711],1,-60,-60,0.05764921,-7.0089436,2.460813
7,-0.06393947022144858,-0.0014392455686584073,-0.6157979674171656,-0.012608595869096462,-0.1460977727547288,-0.00966483645606786,-0.0032875167671591043,-8.201054151868448e-05,[0.03463302],1,-60,-60,0.057641234,-7.0089436,2.460813
8,-0.07706656471003953,-0.0017318552293409085,-0.6563547244295478,-0.014630483034125064,-0.15832751337438822,-0.010594115825369954,-0.004566306248307228,-0.00011079545220127329,[0.03458272],1,-60,-60,0.057630833,-7.0089436,2.460813
9,-0.0905907890956587,-0.0020229417062773794,-0.6762112192809582,-0.014554323846823536,-0.16913514398038387,-0.011565021006390452,-0.006107637658715248,-0.0001454325538361445,[0.0345363],1,-60,-60,0.057618514,-7.0089436,2.460813
