sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-0.00028844982385635377,0.0002993671759031713,-0.014422491192817688,0.014968358795158565,-0.028295397758483887,-0.001917378162033856,0.0,0.0,[0.0279426],1,-60,-60,0.04364467,-5.1893334,-1.0015103
1,-0.013236783958736852,0.0002534943914724863,-0.6474167067440249,-0.0022936392215342494,-0.055192096158862114,-0.003700986271724105,-5.768996288679773e-06,5.98734368395526e-06,[0.02780873],1,-60,-60,0.043644607,-5.1893334,-1.0015103
2,-0.03361387983709392,-7.178086270869243e-05,-1.0188547939178534,-0.016263762709058938,-0.06936217937618494,-0.0047463817754760385,-0.0002705046790651977,1.105723094951827e-05,[0.02766228],1,-60,-60,0.043642763,-5.1893334,-1.0015103
3,-0.055798662894403606,-0.00016948049145867116,-1.1092391528654844,-0.004884981437498936,-0.07680452615022659,-0.006109548034146428,-0.0009427822660654783,9.621613571653143e-06,[0.02759576],1,-60,-60,0.043636944,-5.1893334,-1.0015103
4,-0.0773066453291085,-0.0002014836117541563,-1.075399121735245,-0.0016001560147742566,-0.08458736771717668,-0.007637787493877113,-0.0020587556064128876,6.232003670447739e-06,[0.02756315],1,-60,-60,0.043627627,-5.1893334,-1.0015103
5,-0.09799060521926548,-0.0002070024427939643,-1.0341979945078492,-0.0002759415519903996,-0.09570885496214032,-0.009209153475239873,-0.0036048884503543377,2.2023314159014262e-06,[0.02752859],1,-60,-60,0.043615222,-5.1893334,-1.0015103
6,-0.1182020997283962,-0.00025520196727484294,-1.0105747254565358,-0.0024099762240439304,-0.10567698674276471,-0.010768360341899097,-0.005564700346440077,-1.9377175703994e-06,[0.02747546],1,-60,-60,0.043598898,-5.1893334,-1.0015103
7,-0.13892028249148097,-0.0002735223018135003,-1.0359091381542385,-0.0009160167269328667,-0.1142502180300653,-0.012567255180329084,-0.007928742095828056,-7.041756816761335e-06,[0.0274307],1,-60,-60,0.043579426,-5.1893334,-1.0015103
8,-0.16010741891618635,-0.0003806743912900857,-1.0593568212352693,-0.005357604473829269,-0.12059392547234893,-0.014477407443337142,-0.010707147419452667,-1.2512202374637127e-05,[0.02739271],1,-60,-60,0.043556575,-5.1893334,-1.0015103
9,-0.18164999216142858,-0.0005774110177117109,-1.077128662262112,-0.009836831321081263,-0.1245343373157084,-0.01630589459091425,-0.013909295201301575,-2.012568984355312e-05,[0.02736679],1,-60,-60,0.043530095,-5.1893334,-1.0015103
10,-0.2037008544830587,-0.000745086024817283,-1.102543116081506,-0.008383750355278607,-0.12847255961969495,-0.018274949863553047,-0.017542295157909393,-3.16739096888341e-05,[0.02735099],1,-60,-60,0.043500584,-5.1893334,-1.0015103
11,-0.2247797405654546,-0.0010539020442047332,-1.0539443041197956,-0.015440800969372503,-0.1357028349302709,-0.0201573115773499,-0.021616311743855476,-4.657563113141805e-05,[0.02733396],1,-60,-60,0.0434667,-5.1893334,-1.0015103
12,-0.24701753652002478,-0.0013227471725076614,-1.1118897977285087,-0.013442256415146403,-0.14495851984247565,-0.022352505009621382,-0.02611190639436245,-6.765367288608104e-05,[0.02729924],1,-60,-60,0.043429658,-5.1893334,-1.0015103
13,-0.2687224948154744,-0.001744165631953365,-1.0852479147724807,-0.02107092297228519,-0.15272361738607287,-0.0242510816315189,-0.031052257865667343,-9.410861821379513e-05,[0.02725577],1,-60,-60,0.043389175,-5.1893334,-1.0015103
14,-0.29024669194873237,-0.0021987101937520495,-1.0762098566628993,-0.022727228089934215,-0.16076624253764749,-0.026087166625075042,-0.03642670810222626,-0.0001289919309783727,[0.02722082],1,-60,-60,0.04334507,-5.1893334,-1.0015103
15,-0.3131298516252991,-0.002660011399548239,-1.144157983828336,-0.02306506028980948,-0.17065709875896573,-0.02803455654066056,-0.042231641709804535,-0.00017296613077633083,[0.02718261],1,-60,-60,0.043297052,-5.1893334,-1.0015103
16,-0.33651748637948004,-0.0031352788152980795,-1.1693817377090454,-0.023763370787492022,-0.17400505021214485,-0.029611133388243616,-0.048494238406419754,-0.00022616636124439538,[0.02713618],1,-60,-60,0.043245878,-5.1893334,-1.0015103
17,-0.3605683747334388,-0.003694130311614572,-1.2025444176979363,-0.027942574815824628,-0.17742206575348973,-0.031112459604628384,-0.05522459000349045,-0.0002888719318434596,[0.02712188],1,-60,-60,0.043189928,-5.1893334,-1.0015103
18,-0.3848557380987313,-0.004344025421432889,-1.2143681682646275,-0.03249475549091585,-0.18120721727609634,-0.03249074728228152,-0.06243595853447914,-0.00036275453749112785,[0.02710707],1,-60,-60,0.043130632,-5.1893334,-1.0015103
19,-0.40875726008135643,-0.005053606483397744,-1.1950760991312563,-0.03547905309824273,-0.18530795583501458,-0.0335562537657097,-0.07013307511806488,-0.0004496350302360952,[0.02709078],1,-60,-60,0.0430673,-5.1893334,-1.0015103
20,-0.43157239386159746,-0.005730351972870268,-1.1407566890120506,-0.03383727447362617,-0.19033880531787872,-0.034679162432439625,-0.07830821722745895,-0.0005507071618922055,[0.02707329],1,-60,-60,0.043000065,-5.1893334,-1.0015103
21,-0.4533553905719873,-0.006459206736890338,-1.0891498355194926,-0.03644273820100352,-0.19819692056626081,-0.03586171462666243,-0.08693966269493103,-0.0006653142045252025,[0.02705119],1,-60,-60,0.0429288,-5.1893334,-1.0015103
22,-0.47255364104453296,-0.00719253531029608,-0.9599125236272812,-0.03666642867028713,-0.20810074359178543,-0.0370904739247635,-0.09600677341222763,-0.0007944983663037419,[0.02701534],1,-60,-60,0.042854313,-5.1893334,-1.0015103
23,-0.4924133399901894,-0.007947480390557758,-0.9929849472828209,-0.037747254013083875,-0.21511560352519155,-0.03808033303357661,-0.1054578423500061,-0.0009383490541949868,[0.02697227],1,-60,-60,0.04277645,-5.1893334,-1.0015103
24,-0.5131729779327271,-0.008779395602887236,-1.0379818971268833,-0.041595760616473854,-0.22284829569980502,-0.03908511844929308,-0.11530610918998718,-0.0010972986929118633,[0.02694215],1,-60,-60,0.04269522,-5.1893334,-1.0015103
25,-0.5326057392014173,-0.009632060016283505,-0.9716380634345114,-0.042633220669813454,-0.23288633907213807,-0.040091935312375426,-0.12556956708431244,-0.001272886642254889,[0.02690897],1,-60,-60,0.042610478,-5.1893334,-1.0015103
26,-0.5514649266311881,-0.010493062958830707,-0.9429593714885414,-0.043050147127360106,-0.24204627005383372,-0.04111656965687871,-0.13622167706489563,-0.001465527806431055,[0.02686444],1,-60,-60,0.04252284,-5.1893334,-1.0015103
27,-0.5699938960215059,-0.011280973773227744,-0.9264484695158899,-0.03939554071985185,-0.25457349931821227,-0.04221669305115938,-0.1472509801387787,-0.0016753890085965395,[0.02682639],1,-60,-60,0.042432107,-5.1893334,-1.0015103
28,-0.589149618570691,-0.012171908410509788,-0.9577861274592578,-0.044546731864102185,-0.2712787087075412,-0.04358292988035828,-0.15865086019039154,-0.0019010084215551615,[0.02676095],1,-60,-60,0.042337995,-5.1893334,-1.0015103
29,-0.6101741231633332,-0.013253381658123547,-1.0512252296321094,-0.05407366238068789,-0.2797694350592792,-0.044686014647595584,-0.17043384909629822,-0.0021444465965032578,[0.02667614],1,-60,-60,0.042241044,-5.1893334,-1.0015103
30,-0.6304390825452265,-0.014242474027687425,-1.0132479690946639,-0.04945461847819388,-0.2879250072874129,-0.04572554538026452,-0.18263733386993408,-0.002409514272585511,[0.02663739],1,-60,-60,0.04214053,-5.1893334,-1.0015103
31,-0.64938838940393,-0.015131512105708683,-0.9474653429351747,-0.044451903901062906,-0.30192833906039596,-0.047028818051330745,-0.1952461153268814,-0.0026943637058138847,[0.02659861],1,-60,-60,0.042036645,-5.1893334,-1.0015103
32,-0.6690343889528867,-0.016186509958479294,-0.9822999774478376,-0.05274989263853058,-0.3166078715585172,-0.04779129446251318,-0.20823387801647186,-0.002996993949636817,[0.02652203],1,-60,-60,0.041929316,-5.1893334,-1.0015103
33,-0.6892432508645561,-0.01704708648101587,-1.0104430955834687,-0.04302882612682879,-0.32949594082310796,-0.04870242462493479,-0.22161456942558289,-0.0033207242377102375,[0.0264504],1,-60,-60,0.041819554,-5.1893334,-1.0015103
34,-0.7088282142700609,-0.01786032764661286,-0.9792481702752411,-0.04066205827984959,-0.34328140737488866,-0.04984152934048325,-0.23539943993091583,-0.003661666065454483,[0.02638636],1,-60,-60,0.04170536,-5.1893334,-1.0015103
35,-0.728189223281106,-0.018839243354286737,-0.9680504505522549,-0.048945785383693874,-0.3568323259241879,-0.05092637531924993,-0.24957600235939026,-0.004018872510641813,[0.02631688],1,-60,-60,0.041588537,-5.1893334,-1.0015103
36,-0.7483092250982282,-0.019915463848283254,-1.006000090856105,-0.053811024699825794,-0.37351470114663243,-0.05175653874175623,-0.2641397714614868,-0.00439565721899271,[0.02624381],1,-60,-60,0.041468814,-5.1893334,-1.0015103
37,-0.7718324748454598,-0.021401405751948915,-1.1761624873615801,-0.07429709518328309,-0.3838444412685931,-0.0523535730317235,-0.2791059613227844,-0.00479396665468812,[0.02615755],1,-60,-60,0.041345242,-5.1893334,-1.0015103
38,-0.7949861122323183,-0.022914539916218928,-1.1576818693429232,-0.07565670821350068,-0.3913311827927828,-0.05280538077931851,-0.2945426106452942,-0.00522199459373951,[0.02610591],1,-60,-60,0.041218054,-5.1893334,-1.0015103
39,-0.8182318140408007,-0.024413039963819758,-1.1622850904241204,-0.0749250023800414,-0.40056431386619806,-0.05311549149337225,-0.31044232845306396,-0.005680285394191742,[0.02607038],1,-60,-60,0.0410869,-5.1893334,-1.0015103
40,-0.8395481938151625,-0.026016299010643708,-1.0658189887180924,-0.08016295234119752,-0.4107634061947465,-0.05321401046967367,-0.3268069624900818,-0.0061685461550951,[0.02602644],1,-60,-60,0.04095218,-5.1893334,-1.0015103
41,-0.8587087388923375,-0.02739050987393057,-0.9580272538587451,-0.06871054316434311,-0.4228184623643756,-0.05346379237744259,-0.3435979187488556,-0.00668887235224247,[0.02597816],1,-60,-60,0.040813558,-5.1893334,-1.0015103
42,-0.877244825142434,-0.02845358311196833,-0.926804312504828,-0.05315366190188797,-0.4367002034559846,-0.0542098706428078,-0.36077210307121277,-0.007236682344228029,[0.02592056],1,-60,-60,0.040671967,-5.1893334,-1.0015103
43,-0.894226055688223,-0.02962136616593853,-0.8490615272894502,-0.05838915269850986,-0.4523331904783845,-0.05489437824144261,-0.3783169984817505,-0.007805753964930773,[0.02585232],1,-60,-60,0.040527474,-5.1893334,-1.0015103
44,-0.9111284043295291,-0.030899874673614255,-0.8451174320653081,-0.0639254253837862,-0.4694954277947545,-0.05512411971722031,-0.3962015211582184,-0.008398180827498436,[0.02577385],1,-60,-60,0.04037996,-5.1893334,-1.0015103
45,-0.927263983155599,-0.03206188130758165,-0.8067789413034916,-0.0581003316983697,-0.48282623663544655,-0.055595772464585025,-0.4144240915775299,-0.009016178548336029,[0.02569254],1,-60,-60,0.040229313,-5.1893334,-1.0015103
