sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,3.1178947538137435e-05,0.00029122591949999334,0.0015589473769068718,0.014561295974999666,-0.012313667684793472,-0.0023244651965796947,0.0,0.0,[0.05685946],1,-60,-60,0.13054408,-13.157838,17.83566
1,-0.005318391985498465,0.0003684406442789623,-0.26747854665183013,0.003860736238948448,-0.018675201572477818,-0.004350265488028526,6.235789555830706e-07,5.824518211738905e-06,[0.05683696],1,-60,-60,0.13054408,-13.157838,17.83566
2,-0.013226137813768447,0.00037639636761923614,-0.39538729141349904,0.00039778616701369174,-0.02466142689809203,-0.006272190832532942,-0.00010574425687082112,1.3193330232752487e-05,[0.05682351],1,-60,-60,0.13054356,-13.157838,17.83566
3,-0.023897573135333236,0.00026899858768047124,-0.5335717660782393,-0.0053698889969382435,-0.03238921286538243,-0.008317164494656026,-0.0003702669928316027,2.0721257897093892e-05,[0.0568081],1,-60,-60,0.13054197,-13.157838,17.83566
4,-0.03769733933266821,2.6391108558527766e-05,-0.6899883098667488,-0.012130373956097174,-0.034679511561989784,-0.010073663084767759,-0.0008482184493914247,2.610123010526877e-05,[0.05678657],1,-60,-60,0.13053936,-13.157838,17.83566
5,-0.052213206362799844,-0.00031385882756694626,-0.7257933515065815,-0.017012496806273703,-0.03508190516731702,-0.011541711748577654,-0.0016021651681512594,2.662905171746388e-05,[0.05678068],1,-60,-60,0.13053532,-13.157838,17.83566
6,-0.0668794606044014,-0.0006955267169450963,-0.7333127120800782,-0.0190833944689075,-0.0348930049513001,-0.01294106908608228,-0.002646429231390357,2.0351875718915835e-05,[0.05677938],1,-60,-60,0.1305297,-13.157838,17.83566
7,-0.0812496155235624,-0.0011313761770270503,-0.7185077459580498,-0.0217924730040977,-0.0351336828462081,-0.014277030131779611,-0.003984018228948116,6.441341611207463e-06,[0.05677943],1,-60,-60,0.13052253,-13.157838,17.83566
8,-0.09550317453075537,-0.0015982821833949855,-0.7126779503596481,-0.023345300318396767,-0.03528055487549864,-0.015560934436507523,-0.005609010346233845,-1.6186180801014416e-05,[0.05677854],1,-60,-60,0.13051385,-13.157838,17.83566
9,-0.10918139479967637,-0.0021007407939669064,-0.6839110134460498,-0.025122930528596044,-0.03588813080568798,-0.01680445938836783,-0.007519073784351349,-4.8151821829378605e-05,[0.05677788],1,-60,-60,0.13050339,-13.157838,17.83566
10,-0.12314743166498944,-0.0026289737952083668,-0.6983018432656536,-0.026411650062073022,-0.035802434096694924,-0.018025499768555164,-0.00970270112156868,-9.01666353456676e-05,[0.05677626],1,-60,-60,0.13049178,-13.157838,17.83566
11,-0.13569278677896934,-0.0031182123895177934,-0.6272677556989947,-0.024461929715471342,-0.03722091684176121,-0.019277502316981554,-0.01216564979404211,-0.00014274611021392047,[0.05677612],1,-60,-60,0.13047868,-13.157838,17.83566
12,-0.14786509462749226,-0.003641980723468805,-0.6086153924261453,-0.026188416697550565,-0.037915145585429855,-0.020431591081432998,-0.014879506081342697,-0.00020511035108938813,[0.05677292],1,-60,-60,0.13046412,-13.157838,17.83566
13,-0.15868713392905764,-0.004154385288702542,-0.5411019650782691,-0.02562022826168686,-0.03937319009855855,-0.021590522141195834,-0.017836807295680046,-0.0002779499627649784,[0.05677129],1,-60,-60,0.13044834,-13.157838,17.83566
14,-0.16772875814641,-0.004778980938708628,-0.4520812108676182,-0.03122978250030428,-0.04194031092629302,-0.022612091968767345,-0.02101054973900318,-0.00036103767342865467,[0.05676834],1,-60,-60,0.13043156,-13.157838,17.83566
15,-0.17550476970937443,-0.0054738856281528565,-0.38880057814822067,-0.03474523447221145,-0.0451990812580334,-0.023544620256870985,-0.024365125223994255,-0.00045661727199330926,[0.0567638],1,-60,-60,0.1304138,-13.157838,17.83566
16,-0.18344386094250356,-0.006185027738092685,-0.39695456165645737,-0.035557105496991426,-0.04685971241269726,-0.02441696188179776,-0.027875220403075218,-0.0005660949973389506,[0.05675854],1,-60,-60,0.13039507,-13.157838,17.83566
17,-0.1905643739286518,-0.006800250590304131,-0.3560256493074121,-0.03076114261057228,-0.04993655353609938,-0.025408310058992356,-0.031544096767902374,-0.0006897955317981541,[0.05675585],1,-60,-60,0.13037555,-13.157838,17.83566
18,-0.1976686412683978,-0.007433358594998936,-0.3552133669873001,-0.03165540023474023,-0.05457513460714836,-0.02626386028714478,-0.03535538539290428,-0.0008258005254901946,[0.05675055],1,-60,-60,0.1303555,-13.157838,17.83566
19,-0.20504931948584842,-0.008084569041375288,-0.3690339108725311,-0.032560522318817675,-0.05740995013911743,-0.027186522143892944,-0.039308756589889526,-0.0009744677226990461,[0.05674271],1,-60,-60,0.13033447,-13.157838,17.83566
20,-0.21110853901249926,-0.008608635574337312,-0.3029609763325425,-0.02620332664810121,-0.05961178925645072,-0.02824045659508556,-0.043409742414951324,-0.0011361590586602688,[0.05673848],1,-60,-60,0.13031304,-13.157838,17.83566
21,-0.216180655903014,-0.009032248976864138,-0.25360584452573676,-0.021180670126341283,-0.06270463213149924,-0.029342965106479824,-0.04763191193342209,-0.0013083317317068577,[0.0567355],1,-60,-60,0.1302907,-13.157838,17.83566
