sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-0.0003103388473391533,0.00031154394848272206,-0.015516942366957664,0.015577197424136102,-0.02938835881650448,-0.0013085618847981095,0.0,0.0,[0.04017113],1,-60,-60,0.0760074,-8.01391,9.115501
1,-0.013612338072134663,0.0002769360112870345,-0.6650999612397754,-0.0017303968597843777,-0.05009995959699154,-0.0023968092864379287,-6.206777015904663e-06,6.230879080248997e-06,[0.04003873],1,-60,-60,0.076007284,-8.01391,9.115501
2,-0.03221390519917804,-3.415996743569836e-06,-0.9300783563521691,-0.014017600401530217,-0.05911667086184025,-0.0028478692402131855,-0.0002784535172395408,1.176959904114483e-05,[0.03994929],1,-60,-60,0.07600568,-8.01391,9.115501
3,-0.05351978331499595,-0.0002771415722054371,-1.0652939057908952,-0.013686278773093363,-0.06257562804967165,-0.003074027394177392,-0.000922731589525938,1.1701278708642349e-05,[0.03991354],1,-60,-60,0.07600155,-8.01391,9.115501
4,-0.07487394823388058,-0.0004453771679163765,-1.0677082459442317,-0.008411779785546969,-0.0642562503926456,-0.0033631480182521045,-0.001993127167224884,6.1584473769471515e-06,[0.03990124],1,-60,-60,0.075994655,-8.01391,9.115501
5,-0.09575426421754854,-0.0004969971627178893,-1.0440157991833985,-0.00258099974007564,-0.06668813363648951,-0.0037994228187017143,-0.003490606090053916,-2.7490955289977137e-06,[0.03989529],1,-60,-60,0.07598546,-8.01391,9.115501
6,-0.11724927377589664,-0.0005822834203536331,-1.074750477917405,-0.004264312881787191,-0.06674583955100388,-0.00420061856857501,-0.00540569145232439,-1.2689039067481644e-05,[0.03988694],1,-60,-60,0.075973526,-8.01391,9.115501
7,-0.13880470797187625,-0.0007067148019450542,-1.0777717097989807,-0.006221569079571054,-0.06720623703222373,-0.004597030230797827,-0.007750676944851875,-2.433470763207879e-05,[0.03988672],1,-60,-60,0.075958714,-8.01391,9.115501
8,-0.16009590924783876,-0.0008458782918205543,-1.064560063798126,-0.0069581744937750045,-0.0684411550500954,-0.004963697632774711,-0.01052677072584629,-3.846900290227495e-05,[0.03988511],1,-60,-60,0.07594161,-8.01391,9.115501
9,-0.1809122214595936,-0.000939194020411378,-1.0408156105877424,-0.0046657864295411855,-0.07083103075638064,-0.005413121456513181,-0.013728689402341843,-5.5386568419635296e-05,[0.03988077],1,-60,-60,0.07592164,-8.01391,9.115501
10,-0.20123738189890897,-0.001016807729993161,-1.0162580219657684,-0.003880685479089152,-0.07474175669267424,-0.005815436103148386,-0.017346933484077454,-7.417044980684295e-05,[0.03987201],1,-60,-60,0.075898804,-8.01391,9.115501
11,-0.22168291066337584,-0.001235395167259412,-1.0222764382233436,-0.010929371863312554,-0.07758402396939346,-0.00614423246588558,-0.02137168124318123,-9.450660581933334e-05,[0.03985788],1,-60,-60,0.0758738,-8.01391,9.115501
12,-0.24002189493135115,-0.0014118736789714603,-0.916949213398766,-0.00882392558560241,-0.08442942882902571,-0.006675791053567082,-0.025805339217185974,-0.00011921451368834823,[0.03984723],1,-60,-60,0.07584581,-8.01391,9.115501
13,-0.2580874728986327,-0.0015808443174501008,-0.9032788983640785,-0.008448531923932023,-0.09748249865151593,-0.007283850514795631,-0.030605778098106384,-0.0001474519813200459,[0.03981879],1,-60,-60,0.075816,-8.01391,9.115501
14,-0.27586377011605684,-0.0017055707622239424,-0.8888148608712072,-0.0062363222386920825,-0.10909941597856232,-0.008072761353105307,-0.03576752915978432,-0.00017906886932905763,[0.03975724],1,-60,-60,0.07578356,-8.01391,9.115501
15,-0.295350705346218,-0.001844566292656964,-0.974346761508059,-0.006949776521651074,-0.12071717615253874,-0.008824693330097944,-0.04128480330109596,-0.0002131802903022617,[0.03970288],1,-60,-60,0.075749174,-8.01391,9.115501
16,-0.3152613465174453,-0.0019701283331414743,-0.9955320585613663,-0.006278102024225518,-0.12610236966065713,-0.009461154986638576,-0.047191817313432693,-0.0002500716072972864,[0.03965325],1,-60,-60,0.07571241,-8.01391,9.115501
17,-0.3349841240090699,-0.0021395762968495547,-0.9861388745812292,-0.008472398185404018,-0.13319637431777664,-0.010260747571010143,-0.05349704250693321,-0.0002894741774071008,[0.03963233],1,-60,-60,0.075673126,-8.01391,9.115501
18,-0.3549646173443124,-0.0023090230300476834,-0.999024666762125,-0.008472336659906432,-0.14493829376078793,-0.01131242309929803,-0.06019672378897667,-0.0003322657139506191,[0.03960039],1,-60,-60,0.075631246,-8.01391,9.115501
19,-0.37532724782912724,-0.0024839593434626294,-1.0181315242407436,-0.00874681567074731,-0.1535172014591808,-0.01231784705305472,-0.06729601323604584,-0.00037844618782401085,[0.039546],1,-60,-60,0.075586736,-8.01391,9.115501
20,-0.3958540914386047,-0.0026716988090811356,-1.0263421804738755,-0.009386973280925304,-0.16125232438571402,-0.013456508459057659,-0.07480255514383316,-0.00042812537867575884,[0.03950911],1,-60,-60,0.07554008,-8.01391,9.115501
21,-0.41783686214811483,-0.0029962385730505046,-1.0991385354755039,-0.01622698819846846,-0.1715933009145374,-0.014561887888703495,-0.08271963894367218,-0.0004815593420062214,[0.0394735],1,-60,-60,0.07549069,-8.01391,9.115501
22,-0.4405715106572551,-0.0032787600537449177,-1.1367324254570121,-0.01412607403472066,-0.17579301810837933,-0.01552146312315017,-0.09107637405395508,-0.0005414840998128057,[0.03942601],1,-60,-60,0.0754386,-8.01391,9.115501
23,-0.46269957412384416,-0.0036593824478950406,-1.1064031733294541,-0.01903111970750615,-0.1826248331090028,-0.01616997749079019,-0.09988780319690704,-0.0006070592789910734,[0.03940794],1,-60,-60,0.07538378,-8.01391,9.115501
24,-0.48495858047340323,-0.004133642010219773,-1.112950317477953,-0.023712978116236627,-0.1881001814363117,-0.016764473111834377,-0.10914179682731628,-0.0006802469142712653,[0.03937822],1,-60,-60,0.07532627,-8.01391,9.115501
25,-0.506233836030742,-0.004614256371805822,-1.0637627778669412,-0.02403071807930246,-0.19575384390554973,-0.017391037137713283,-0.11884097009897232,-0.0007629197789356112,[0.03935481],1,-60,-60,0.075265825,-8.01391,9.115501
26,-0.5251104685462722,-0.0051042094471085864,-0.9438316257765109,-0.02449765376513824,-0.20522913654349395,-0.017950157343875617,-0.12896564602851868,-0.0008552048821002245,[0.03932038],1,-60,-60,0.07520302,-8.01391,9.115501
27,-0.5436238819235676,-0.005529255641686176,-0.9256706688647682,-0.02125230972887948,-0.2146530751233513,-0.01861380261834711,-0.13946785032749176,-0.0009572890703566372,[0.03927973],1,-60,-60,0.07513797,-8.01391,9.115501
28,-0.5631511662758656,-0.006010104015531395,-0.9763642176149006,-0.02404241869226098,-0.22210226199604222,-0.019389470689930022,-0.15034033358097076,-0.0010678741382434964,[0.03924195],1,-60,-60,0.07507036,-8.01391,9.115501
