sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-0.0024870780482888224,-8.384700631722808e-05,-0.12435390241444111,-0.004192350315861404,-0.024483585730195045,-0.0008561130380257964,0.0,0.0,[0.03970159],1,-60,-60,0.0760074,-8.01391,9.115501
1,-0.006855895452317781,-0.0001796498864291607,-0.21844087020144798,-0.0047901440055966304,-0.04806334897875786,-0.0015854137600399554,-4.974156036041677e-05,-1.6769400872362894e-06,[0.03960209],1,-60,-60,0.07600706,-8.01391,9.115501
2,-0.01307133740891004,-0.0002803177020336989,-0.3107720978296129,-0.0050333907802269096,-0.06892151199281216,-0.002208554418757558,-0.00018685946997720748,-5.269937901175581e-06,[0.03950326],1,-60,-60,0.076006256,-8.01391,9.115501
3,-0.02113080490176799,-0.00039665690770334554,-0.4029733746428974,-0.005816960283482331,-0.08926760219037533,-0.002725656027905643,-0.0004482862423174083,-1.0876292435568757e-05,[0.03941573],1,-60,-60,0.07600476,-8.01391,9.115501
4,-0.030642439455550632,-0.0005175403921180078,-0.4755817276891321,-0.006044174220733112,-0.10682899877429008,-0.0032219471177086234,-0.0008709023240953684,-1.8809430912369862e-05,[0.03933019],1,-60,-60,0.07600201,-8.01391,9.115501
5,-0.041147014461748774,-0.0006332315168560854,-0.5252287503099069,-0.005784556236903882,-0.12248631753027439,-0.003625317505793646,-0.001483751111663878,-2.916023731813766e-05,[0.03926081],1,-60,-60,0.07599822,-8.01391,9.115501
6,-0.05288599824561971,-0.0007782512581775337,-0.5869491891935468,-0.007250987066072412,-0.13667462393641472,-0.003989993769209832,-0.0023066913709044456,-4.182486736681312e-05,[0.03919857],1,-60,-60,0.075993165,-8.01391,9.115501
7,-0.06555077020108002,-0.0009227086621262971,-0.6332385977730155,-0.007222870197438169,-0.15015612170100212,-0.0043488300871104,-0.0033644111827015877,-5.738989420933649e-05,[0.03914285],1,-60,-60,0.0759865,-8.01391,9.115501
8,-0.07885429369314807,-0.0010933196234850584,-0.6651761746034026,-0.00853054806793807,-0.16240918636322021,-0.004733673937153071,-0.0046754265204072,-7.584406557725742e-05,[0.03908999],1,-60,-60,0.075978234,-8.01391,9.115501
9,-0.09279941016837256,-0.0012581489328454154,-0.6972558237612247,-0.00824146546801785,-0.17452271655201912,-0.005107650038553402,-0.006252512335777283,-9.771045733941719e-05,[0.03904281],1,-60,-60,0.07596859,-8.01391,9.115501
10,-0.10729288764327066,-0.001417056945517743,-0.724673873744905,-0.007945400633616373,-0.18512846063822508,-0.0054606961202807724,-0.008108500391244888,-0.00012287343270145357,[0.03899587],1,-60,-60,0.07595688,-8.01391,9.115501
