sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-0.0025339215993881226,-9.950592182576656e-05,-0.12669607996940613,-0.004975296091288328,-0.02682574838399887,-0.0016390543896704912,0.0,0.0,[0.02785956],1,-60,-60,0.055337466,-5.2058606,-6.006731
1,-0.007145056136942003,-0.0002289707586487566,-0.23055672687769402,-0.006473241841149502,-0.05273137986660004,-0.003190975752659142,-5.0678427214734256e-05,-1.9901183350157226e-06,[0.02774081],1,-60,-60,0.055336967,-5.2058606,-6.006731
2,-0.01385314926505089,-0.00037889022183208,-0.33540465640544426,-0.007495973159166169,-0.07646331749856472,-0.004594080965034664,-0.0001935795444296673,-6.5695330704329535e-06,[0.02762158],1,-60,-60,0.055336434,-5.2058606,-6.006731
3,-0.02253368562902324,-0.0005543087410069347,-0.43402681819861755,-0.008770925958742737,-0.09869231283664703,-0.005839031771756709,-0.00047064252430573106,-1.4147337424219586e-05,[0.02751084],1,-60,-60,0.055334404,-5.2058606,-6.006731
4,-0.03257056302740239,-0.0007462063297452914,-0.5018438699189574,-0.009594879436917836,-0.11791972070932388,-0.007014610921032727,-0.0009213162120431662,-2.523351213312708e-05,[0.02740955],1,-60,-60,0.05533088,-5.2058606,-6.006731
5,-0.04403899640659802,-0.0009724733809298413,-0.5734216689597815,-0.011313352559227496,-0.13556860014796257,-0.008078560465946794,-0.001572727458551526,-4.0157639887183905e-05,[0.02732437],1,-60,-60,0.055326298,-5.2058606,-6.006731
6,-0.05669671168434434,-0.0012146456414075146,-0.632885763887316,-0.012108613023883663,-0.15228025242686272,-0.009110794519074261,-0.0024535073898732662,-5.960710404906422e-05,[0.02724668],1,-60,-60,0.05531971,-5.2058606,-6.006731
7,-0.07020023550721817,-0.0014810118730702016,-0.6751761911436915,-0.013318311583134346,-0.1671088384464383,-0.010127913556061685,-0.0035874415189027786,-8.390001312363893e-05,[0.02717353],1,-60,-60,0.05531158,-5.2058606,-6.006731
8,-0.08450524615938776,-0.001752774049487016,-0.7152505326084793,-0.013588108820840716,-0.1810808926820755,-0.011075389280449599,-0.004991446156054735,-0.00011352024739608169,[0.02711003],1,-60,-60,0.05530143,-5.2058606,-6.006731
9,-0.09944951417739503,-0.002027507374837114,-0.7472134009003639,-0.013736666267504916,-0.1933391960337758,-0.012001883063931018,-0.0066815512254834175,-0.00014857572386972606,[0.02705101],1,-60,-60,0.05528923,-5.2058606,-6.006731
10,-0.11471136136795394,-0.0023329306506957434,-0.7630923595279455,-0.015271163792931475,-0.2045268351212144,-0.012947031413204968,-0.00867054145783186,-0.0001891258725663647,[0.02700112],1,-60,-60,0.05527552,-5.2058606,-6.006731
11,-0.13049400632153266,-0.0026518386092675423,-0.7891322476789355,-0.015945397928589955,-0.21558150369673967,-0.013847239373717457,-0.010964768007397652,-0.0002357844787184149,[0.02695656],1,-60,-60,0.05525877,-5.2058606,-6.006731
12,-0.14718212039093487,-0.0029936373934788202,-0.8344057034701109,-0.017089939210563898,-0.22704103775322437,-0.014784855709876865,-0.013574648648500443,-0.000288821232970804,[0.02691034],1,-60,-60,0.05523999,-5.2058606,-6.006731
13,-0.16421564108575695,-0.0033570739617744035,-0.8516760347411036,-0.018171828414779156,-0.2386576971039176,-0.015703717479482293,-0.01651829108595848,-0.00034869398223236203,[0.0268616],1,-60,-60,0.055219162,-5.2058606,-6.006731
14,-0.18144553434918637,-0.0037490350511097856,-0.8614946631714702,-0.0195980544667691,-0.24993095453828573,-0.01662886462872848,-0.019802603870630264,-0.00041583547135815024,[0.02681135],1,-60,-60,0.05519533,-5.2058606,-6.006731
