sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-0.0025634878873825075,-7.306081592105329e-05,-0.12817439436912537,-0.0036530407960526645,-0.0283040851354599,-0.0003167928080074489,0.0,0.0,[0.01082038],1,-60,-60,0.03900265,-1.9249843,7.3182707
1,-0.007334776511706878,-0.00014580158487206065,-0.2385644312162185,-0.003637038447550367,-0.0558843407779932,-0.0005056646332377568,-5.126975884195417e-05,-1.4612162431149045e-06,[0.01068844],1,-60,-60,0.039002556,-1.9249843,7.3182707
2,-0.014365466831368395,-0.0002117781109109274,-0.35153451598307583,-0.003298826301943336,-0.08111854270100594,-0.0005510845730896108,-0.00019796528795268387,-4.377247933007311e-06,[0.01055657],1,-60,-60,0.03900226,-1.9249843,7.3182707
3,-0.023385183852515184,-0.0002780841318372041,-0.45098585105733946,-0.0033153010463138344,-0.10438094101846218,-0.0005657608408000669,-0.00048527464969083667,-8.612810233898927e-06,[0.01043335],1,-60,-60,0.039001297,-1.9249843,7.3182707
4,-0.03381702142825816,-0.0003399877840047339,-0.5215918787871487,-0.00309518260837649,-0.12407093867659569,-0.000579413041123189,-0.0009529783274047077,-1.4174493117025122e-05,[0.01032398],1,-60,-60,0.03900009,-1.9249843,7.3182707
5,-0.045763824130990546,-0.0004112955529785723,-0.5973401351366192,-0.0035653884486919196,-0.14197143353521824,-0.0005784934609209813,-0.0016293188091367483,-2.097424840030726e-05,[0.01023403],1,-60,-60,0.038998257,-1.9249843,7.3182707
6,-0.05885989597591106,-0.00048230736058940243,-0.6548035922460258,-0.0035505903805415073,-0.15889364667236805,-0.0005536187208008414,-0.002544595394283533,-2.9200160497566685e-05,[0.01015328],1,-60,-60,0.03899579,-1.9249843,7.3182707
7,-0.07268377991917077,-0.0005433619409700441,-0.6911941971629858,-0.0030527290190320855,-0.17382882069796324,-0.0005141200789466893,-0.003721793182194233,-3.8846308598294854e-05,[0.01007837],1,-60,-60,0.03899252,-1.9249843,7.3182707
8,-0.08746629329922143,-0.000599128716753512,-0.739125669002533,-0.0027883387891733946,-0.18809240777045488,-0.0005040315380711036,-0.005175468511879444,-4.9713547923602164e-05,[0.01001246],1,-60,-60,0.038988777,-1.9249843,7.3182707
9,-0.10280328661727253,-0.0006506045709670617,-0.766849665902555,-0.0025737927106774805,-0.2006373554468155,-0.0005402970899694992,-0.006924794055521488,-6.169611879158765e-05,[0.0099512],1,-60,-60,0.038983963,-1.9249843,7.3182707
