sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-0.00035076661035418513,0.00032691927277483045,-0.017538330517709255,0.016345963638741523,-0.03141176700592041,-0.0005398459616117179,0.0,0.0,[0.01248674],1,-60,-60,0.029596385,-2.1668313,4.970718
1,-0.013937992348237458,0.00025901416478518513,-0.6793612868941636,-0.0033952553994822665,-0.059379324316978455,-0.0011566699831746519,-7.015331902948674e-06,6.538385605381336e-06,[0.01232087],1,-60,-60,0.029596265,-2.1668313,4.970718
2,-0.035428803518316274,2.6797155824169737e-05,-1.0745405585039407,-0.011610850448050769,-0.07416436448693275,-0.0012705753688351251,-0.0002857751678675413,1.1718668247340247e-05,[0.0121575],1,-60,-60,0.029594976,-2.1668313,4.970718
3,-0.057318901477283364,6.110865486334659e-05,-1.0945048979483545,0.0017155749519588426,-0.08519193716347218,-0.0016107374176499434,-0.000994351226836443,1.2254611647222191e-05,[0.01208019],1,-60,-60,0.029591985,-2.1668313,4.970718
4,-0.0775811523309858,0.00020519855932434438,-1.0131125426851213,0.007204495223049889,-0.1021067164838314,-0.0023098304591258056,-0.00214072922244668,1.3476785170496441e-05,[0.01202407],1,-60,-60,0.029586907,-2.1668313,4.970718
5,-0.09834072848027063,0.0003795545979846793,-1.037978807464242,0.008717801933016744,-0.11602688115090132,-0.0032834897356224246,-0.0036923522129654884,1.758075632096734e-05,[0.01193313],1,-60,-60,0.029580053,-2.1668313,4.970718
6,-0.11999619732787324,0.00046787825749561307,-1.0827734423801303,0.00441618297554669,-0.12623339798301458,-0.004152894551225472,-0.005659166723489761,2.5171848392346874e-05,[0.01186228],1,-60,-60,0.02957163,-2.1668313,4.970718
7,-0.1420103190577538,0.0006010140210310056,-1.1007060864940286,0.0066567881767696235,-0.13568591326475143,-0.0052964095448260196,-0.008059090934693813,3.452941382420249e-05,[0.01181522],1,-60,-60,0.029561048,-2.1668313,4.970718
8,-0.1651859121135385,0.0007625011636446288,-1.1587796527892351,0.008074357130681165,-0.14773883763700724,-0.00658057881082641,-0.010899296961724758,4.6549692342523485e-05,[0.0117657],1,-60,-60,0.029548863,-2.1668313,4.970718
9,-0.18775965259586883,0.0007865702734306979,-1.1286870241165161,0.001203455489303451,-0.1571521796286106,-0.007855754876800347,-0.014203015714883804,6.17997138760984e-05,[0.01170333],1,-60,-60,0.02953421,-2.1668313,4.970718
10,-0.21071708173667503,0.0007625886593632459,-1.14787145704031,-0.0011990807033726014,-0.1673576906323433,-0.00929172401811229,-0.017958208918571472,7.753112004138529e-05,[0.01165641],1,-60,-60,0.029518157,-2.1668313,4.970718
