sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,0.0003548384038731456,0.0002884965064004064,0.01774192019365728,0.014424825320020318,0.0038675123360008,-0.0024609395768493414,0.0,0.0,[0.0508214],1,-60,-60,0.12513724,14.240909,10.741018
1,0.0026392036821380315,0.00047661103466452916,0.1142182639132443,0.009405726413206139,0.005024778773076832,-0.004894169745966792,7.096768058545422e-06,5.769929884991143e-06,[0.0508183],1,-60,-60,0.12513724,14.240909,10.741018
2,0.005401838313209737,0.0006186515889385192,0.13813173155358527,0.007102027713699499,0.004975678359187441,-0.007286407286301255,5.9880843764403835e-05,1.5302150131901726e-05,[0.05081694],1,-60,-60,0.12513675,14.240909,10.741018
3,0.00813483187879683,0.00069365241613923,0.1366496782793547,0.0037500413600355387,0.004977903292456176,-0.009586805244907737,0.00016791760572232306,2.767518162727356e-05,[0.05081616],1,-60,-60,0.12513576,14.240909,10.741018
4,0.010747238700223533,0.0007552079941342527,0.13062034107133513,0.003077778899751138,0.0052706129717989825,-0.011878915131092072,0.00033061421709135175,4.1548228182364255e-05,[0.05081539],1,-60,-60,0.12513478,14.240909,10.741018
5,0.013503213644235075,0.0007486371866798436,0.13779874720057705,-0.0003285403727204539,0.005101028516946826,-0.01408221060410142,0.0005455589853227139,5.665238859364763e-05,[0.0508145],1,-60,-60,0.12513329,14.240909,10.741018
6,0.016177133205328573,0.000689012143175205,0.13369597805467492,-0.00298125217523193,0.005080100230770768,-0.01616138336248696,0.0008156232070177794,7.162513065850362e-05,[0.05081385],1,-60,-60,0.12513131,14.240909,10.741018
7,0.01882357369280726,0.0005708731282174995,0.13232202437393425,-0.005906950747885276,0.0050602683859324316,-0.018165355315431952,0.0011391658335924149,8.540537237422541e-05,[0.0508132],1,-60,-60,0.12512884,14.240909,10.741018
8,0.020456932303259238,0.0003524400893911661,0.08166793052259891,-0.010921651941316668,0.006207387714312063,-0.020103141432628036,0.0015156372683122754,9.68228341662325e-05,[0.05081256],1,-60,-60,0.12512635,14.240909,10.741018
9,0.021965800375564868,8.623456864370382e-05,0.07544340361528157,-0.013310276037373114,0.0075393413953861455,-0.0219692790415138,0.0019247758900746703,0.00010387163638370112,[0.05081144],1,-60,-60,0.12512332,14.240909,10.741018
10,0.024043656624398863,-0.00023934357648613513,0.10389281244169979,-0.016278907256491948,0.008767040615566657,-0.02373354637529701,0.002364091807976365,0.00010559632937656716,[0.05081022],1,-60,-60,0.12512082,14.240909,10.741018
11,0.026200030348863947,-0.000683058397789864,0.10781868622325419,-0.02218574106518645,0.009488216188401566,-0.025347355753183365,0.0028449648525565863,0.00010080945503432304,[0.05080908],1,-60,-60,0.12511687,14.240909,10.741018
12,0.028639543749650328,-0.0011702860054538177,0.12197567003931908,-0.024361380383197684,0.010267214320265339,-0.026892470428720117,0.0033689653500914574,8.714828436495736e-05,[0.05080825],1,-60,-60,0.12511334,14.240909,10.741018
13,0.0304415558817891,-0.0015364397678968088,0.09010060660693853,-0.018307688122149557,0.011366689746864722,-0.02853799087461084,0.003941756207495928,6.374256918206811e-05,[0.05080742],1,-60,-60,0.12510984,14.240909,10.741018
14,0.03267949035302081,-0.0019521557323059823,0.11189672356158553,-0.020785798220458673,0.012770917319357977,-0.03018439991865307,0.004550587385892868,3.301377364550717e-05,[0.0508064],1,-60,-60,0.12510537,14.240909,10.741018
15,0.03562567143018896,-0.0024149128959288645,0.14730905385840742,-0.02313785818114411,0.013953129464425729,-0.03175177238881588,0.0052041769959032536,-6.029338692314923e-06,[0.05080513],1,-60,-60,0.12510084,14.240909,10.741018
16,0.03909928762101117,-0.0029247895012849768,0.17368080954111065,-0.025493830267805606,0.01392568948722328,-0.0332612736383453,0.005916690453886986,-5.432759644463658e-05,[0.05080399],1,-60,-60,0.12509586,14.240909,10.741018
17,0.041838946686493725,-0.003448821623042022,0.1369829532741278,-0.02620160608785227,0.014576523662981344,-0.034747257363051176,0.006698676384985447,-0.00011282338527962565,[0.05080354],1,-60,-60,0.12509082,14.240909,10.741018
18,0.044859127119652835,-0.004020909593837132,0.1510090216579556,-0.028604398539755493,0.014857362821203424,-0.036148415063507855,0.007535455282777548,-0.00018179981270805,[0.05080277],1,-60,-60,0.12508531,14.240909,10.741018
19,0.04714838815956682,-0.00480561088088507,0.11446305199569906,-0.039235064352396876,0.01570749490565504,-0.03732497291639447,0.00843263790011406,-0.00026221800362691283,[0.05080222],1,-60,-60,0.12507929,14.240909,10.741018
20,0.049141667902676996,-0.00561405818169078,0.09966398715550895,-0.04042236504028551,0.016540791239094688,-0.038421608158387244,0.00937560573220253,-0.0003583302313927561,[0.05080149],1,-60,-60,0.12507275,14.240909,10.741018
21,0.05093723301806676,-0.006481144069275616,0.08977825576948817,-0.043354294379241765,0.018161532567319227,-0.03947182581759989,0.010358438827097416,-0.00047061138320714235,[0.05080073],1,-60,-60,0.12506624,14.240909,10.741018
22,0.053127592322362034,-0.0073687233073178515,0.10951796521476354,-0.04437896190211177,0.01894802761307801,-0.04049683839548379,0.011377183720469475,-0.0006002342561259866,[0.05079969],1,-60,-60,0.12505968,14.240909,10.741018
23,0.055675518019870654,-0.008286293472210673,0.12739628487543087,-0.045878508244641125,0.019699870881595416,-0.04147740907501429,0.012439735233783722,-0.000747608719393611,[0.050799],1,-60,-60,0.12505263,14.240909,10.741018
24,0.057118412716463354,-0.00925856965202911,0.07214473482963513,-0.048613808990921825,0.02156660162654589,-0.04260064521804452,0.013553245924413204,-0.0009133346029557288,[0.05079833],1,-60,-60,0.1250456,14.240909,10.741018
25,0.059125060566311734,-0.010299409232848122,0.10033239249241888,-0.05204197904095054,0.021694770195608726,-0.04358037863858044,0.014695614576339722,-0.0010985059197992086,[0.05079725],1,-60,-60,0.12503803,14.240909,10.741018
26,0.0602611392680592,-0.011311667534337176,0.05680393508737325,-0.05061291507445276,0.02267202816074132,-0.0445869347313419,0.015878114849328995,-0.0013044941006228328,[0.05079691],1,-60,-60,0.12502998,14.240909,10.741018
27,0.061751092376816814,-0.012309423432034238,0.0744976554378809,-0.049887794884853065,0.02329318824558868,-0.04560418659821153,0.017083337530493736,-0.00153072748798877,[0.05079626],1,-60,-60,0.1250224,14.240909,10.741018
28,0.06348901868981556,-0.013332736059837773,0.0868963156499376,-0.05116563139017671,0.02338457523364923,-0.046575344051234424,0.018318358808755875,-0.0017769159749150276,[0.05079577],1,-60,-60,0.12501432,14.240909,10.741018
29,0.063929911934556,-0.014403180641402289,0.02204466223702184,-0.05352222907822579,0.024755192771408474,-0.047485781949944794,0.019588138908147812,-0.002043570624664426,[0.05079545],1,-60,-60,0.12500674,14.240909,10.741018
30,0.06412418874964713,-0.015494856381137654,0.009713840754557168,-0.054583786986768246,0.025845892345387256,-0.048340978333726525,0.02086673676967621,-0.002331634284928441,[0.05079487],1,-60,-60,0.12499811,14.240909,10.741018
31,0.06419734016863002,-0.016598566051852687,0.0036575709491444286,-0.0551854835357517,0.026625031630828744,-0.049173332285135984,0.0221492201089859,-0.002641531405970454,[0.05079445],1,-60,-60,0.12499005,14.240909,10.741018
32,0.0642672428818514,-0.01768893816350101,0.003495135661069071,-0.05451860558241606,0.027656684887915617,-0.04999277857132256,0.02343316748738289,-0.0029735027346760035,[0.05079408],1,-60,-60,0.124982364,14.240909,10.741018
33,0.06472607243546007,-0.018795299469074964,0.02294147768043331,-0.05531806527869776,0.028283074581850087,-0.05071244161808863,0.0247185118496418,-0.0033272814471274614,[0.05079365],1,-60,-60,0.12497474,14.240909,10.741018
34,0.06540824686724589,-0.019908032250405088,0.034108721589291235,-0.05563663906650618,0.028412154813850066,-0.05142267752671614,0.026013033464550972,-0.0037031874526292086,[0.05079336],1,-60,-60,0.124966614,14.240909,10.741018
35,0.06611841778363667,-0.02103330743922925,0.035508545819538995,-0.056263759441208094,0.028435581136363908,-0.0521088193054311,0.02732119895517826,-0.0041013481095433235,[0.05079315],1,-60,-60,0.124958485,14.240909,10.741018
36,0.06630281856969303,-0.022210216301773476,0.009220039302817895,-0.05884544312721118,0.02898305171947868,-0.05273328482871875,0.028643567115068436,-0.004522014409303665,[0.05079296],1,-60,-60,0.124950334,14.240909,10.741018
37,0.06668417221515481,-0.02339059331296085,0.019067682273089304,-0.05901885055936873,0.029265891707837,-0.053325210930779576,0.029969623312354088,-0.004966218955814838,[0.05079273],1,-60,-60,0.12494266,14.240909,10.741018
38,0.06617840483328107,-0.024578762922483295,-0.025288369093686924,-0.05940848047612235,0.03049525659844221,-0.05388971808133647,0.03130330517888069,-0.005434030666947365,[0.05079255],1,-60,-60,0.12493448,14.240909,10.741018
