sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-0.0024224140495061877,-0.00010265845339745283,-0.12112070247530937,-0.0051329226698726416,-0.021250303834676743,-0.0017966832965612411,0.0,0.0,[0.03420957],1,-60,-60,0.06893002,-6.7071576,-6.860225
1,-0.006387201269244543,-0.00023090164273071424,-0.19823936098691775,-0.00641215946666307,-0.040254632011055946,-0.003479511826299131,-4.844828072236851e-05,-2.053169055216131e-06,[0.03413526],1,-60,-60,0.06892953,-6.7071576,-6.860225
2,-0.011936207637627377,-0.00039551018323891185,-0.2774503184191417,-0.008230427025409881,-0.058695238083601,-0.005084489355795085,-0.00017619229038245976,-6.671201845165342e-06,[0.03406631],1,-60,-60,0.06892894,-6.7071576,-6.860225
3,-0.01906136104647885,-0.0005850267617779536,-0.3562576704425737,-0.00947582892695209,-0.07608419843018055,-0.0065572308376431465,-0.0004149164305999875,-1.4581404684577137e-05,[0.03399965],1,-60,-60,0.068926886,-6.7071576,-6.860225
4,-0.027588988508068724,-0.0008034638845629161,-0.42638137307949364,-0.01092185613924812,-0.09228059463202953,-0.007939978269860148,-0.000796143664047122,-2.6281939426553436e-05,[0.03393457],1,-60,-60,0.06892423,-6.7071576,-6.860225
5,-0.03707635554295848,-0.001048854115847462,-0.4743683517444879,-0.012269511564227287,-0.10647327918559313,-0.009247171226888895,-0.00134792341850698,-4.2351217416580766e-05,[0.03387461],1,-60,-60,0.06892005,-6.7071576,-6.860225
6,-0.04748161272887955,-0.001323581197407293,-0.5202628592960536,-0.013736354077991564,-0.11932316608726978,-0.010518014547415078,-0.002089450601488352,-6.332829798338935e-05,[0.03382398],1,-60,-60,0.06891479,-6.7071576,-6.860225
7,-0.05881716047690133,-0.0016232544840522679,-0.5667773874010891,-0.014983664332248736,-0.1309891641139984,-0.011631770757958293,-0.003039082745090127,-8.979991980595514e-05,[0.03377835],1,-60,-60,0.06890744,-6.7071576,-6.860225
8,-0.07094397151187877,-0.001945008418310863,-0.6063405517488718,-0.016087696712929755,-0.14181047771126032,-0.01277808507438749,-0.0042154258117079735,-0.00012226501712575555,[0.0337373],1,-60,-60,0.068899006,-6.7071576,-6.860225
9,-0.08378147249386529,-0.00229776209298052,-0.6418750490993261,-0.017637683733482845,-0.15247257333248854,-0.013885531108826399,-0.005634305067360401,-0.0001611651823623106,[0.03369904],1,-60,-60,0.06888851,-6.7071576,-6.860225
10,-0.09688871823527734,-0.002669420234065001,-0.6553622870706022,-0.01858290705422405,-0.16196352243423462,-0.01497002865653485,-0.007309934590011835,-0.00020712042169179767,[0.03366178],1,-60,-60,0.06887592,-6.7071576,-6.860225
11,-0.11039455173813621,-0.003054379536092711,-0.6752916751429439,-0.01924796510138549,-0.17060608323663473,-0.016055204323492944,-0.009247709065675735,-0.00026050882297568023,[0.03362976],1,-60,-60,0.068861246,-6.7071576,-6.860225
12,-0.124505359831237,-0.0034590792765584414,-0.7055404046550393,-0.02023498702328652,-0.17861889861524105,-0.01713345048483461,-0.011455600149929523,-0.0003215963952243328,[0.03360018],1,-60,-60,0.06884449,-6.7071576,-6.860225
13,-0.1388183961463801,-0.0038618648877809395,-0.7156518157571554,-0.020139280561124906,-0.18549503292888403,-0.018180403159931302,-0.013945707120001316,-0.0003907779755536467,[0.03357356],1,-60,-60,0.06882655,-6.7071576,-6.860225
14,-0.15319284402110497,-0.004282614008893688,-0.7187223937362432,-0.02103745605563745,-0.1917570661753416,-0.01923906384035945,-0.016722075641155243,-0.0004680152633227408,[0.0335514],1,-60,-60,0.06880562,-6.7071576,-6.860225
15,-0.1676311050755612,-0.00472476516840743,-0.7219130527228117,-0.022107557975687087,-0.1980831678956747,-0.02024446043651551,-0.019785933196544647,-0.0005536675453186035,[0.03353132],1,-60,-60,0.06878254,-6.7071576,-6.860225
16,-0.1820677280174277,-0.00519578930563057,-0.7218311470933259,-0.02355120686115697,-0.20393005618825555,-0.021206413279287517,-0.023138554766774178,-0.000648162851575762,[0.03351148],1,-60,-60,0.06875785,-6.7071576,-6.860225
17,-0.19667618049585142,-0.005706578480217104,-0.7304226239211857,-0.025539458729326725,-0.2105385926552117,-0.022117770568002015,-0.026779908686876297,-0.0007520786602981389,[0.03349307],1,-60,-60,0.06873058,-6.7071576,-6.860225
18,-0.21166576637231627,-0.006212467973723506,-0.7494792938232422,-0.02529447467532009,-0.21771293133497238,-0.023056537611410022,-0.030713431537151337,-0.0008662102045491338,[0.03347117],1,-60,-60,0.0687017,-6.7071576,-6.860225
19,-0.22677735376448252,-0.00673749350001799,-0.7555793696083128,-0.026251276314724237,-0.22453954303637147,-0.02399708441225812,-0.0349467471241951,-0.0009904595790430903,[0.03344679],1,-60,-60,0.068669744,-6.7071576,-6.860225
20,-0.24227793429323355,-0.007284993824919183,-0.7750290264375508,-0.02737501624505967,-0.23116137878969312,-0.02489750401582569,-0.039482295513153076,-0.0011252094991505146,[0.03342348],1,-60,-60,0.068635695,-6.7071576,-6.860225
21,-0.2577829256681434,-0.007845725584679712,-0.7752495687454939,-0.02803658798802644,-0.23833420686423779,-0.025775304879061878,-0.04432785511016846,-0.0012709093280136585,[0.03340071],1,-60,-60,0.068599984,-6.7071576,-6.860225
22,-0.27320481878981806,-0.00841655904766867,-0.7710946560837328,-0.028541673149447888,-0.24562026420608163,-0.026646846730727702,-0.049483515322208405,-0.0014278237940743566,[0.03337594],1,-60,-60,0.068561696,-6.7071576,-6.860225
23,-0.28867804280758713,-0.009014684822082017,-0.7736612008884549,-0.029906288720667362,-0.25317651126533747,-0.027471668436191976,-0.054947610944509506,-0.0015961549943313003,[0.03335063],1,-60,-60,0.068520844,-6.7071576,-6.860225
24,-0.3043757119150541,-0.009664469709291551,-0.7848834553733468,-0.03248924436047673,-0.260489315725863,-0.028263376792892814,-0.060721173882484436,-0.0017764486838132143,[0.03332408],1,-60,-60,0.06847833,-6.7071576,-6.860225
25,-0.32016030244805727,-0.010316271354581658,-0.7892295266501606,-0.03259008226450533,-0.2674512858502567,-0.029083872330375016,-0.06680868566036224,-0.0019697381649166346,[0.03329852],1,-60,-60,0.06843277,-6.7071576,-6.860225
26,-0.335765059490659,-0.010970934843549001,-0.7802378521300852,-0.03273317444836721,-0.274456484708935,-0.029845995304640383,-0.07321189343929291,-0.0021760636009275913,[0.03327445],1,-60,-60,0.068385094,-6.7071576,-6.860225
27,-0.3516296646026603,-0.011645441464984287,-0.793230255600065,-0.03372533107176423,-0.28094941889867187,-0.030597349628806114,-0.07992719113826752,-0.0023954822681844234,[0.03325045],1,-60,-60,0.06833534,-6.7071576,-6.860225
28,-0.3677143575558148,-0.012349919358871374,-0.8042346476577222,-0.035223894694354385,-0.28778252145275474,-0.03141573764150962,-0.08695978671312332,-0.0026283911429345608,[0.03322796],1,-60,-60,0.06828295,-6.7071576,-6.860225
29,-0.3838426270084164,-0.013086968647453432,-0.8064134726300836,-0.03685246442910284,-0.2951645040884614,-0.03220783767756075,-0.0943140760064125,-0.0028753895312547684,[0.03320359],1,-60,-60,0.06822845,-6.7071576,-6.860225
30,-0.39965682004854897,-0.013816328381558378,-0.7907096520066261,-0.03646798670524731,-0.3022994101047516,-0.03294983884552494,-0.10199093073606491,-0.0031371288932859898,[0.03317751],1,-60,-60,0.06817142,-6.7071576,-6.860225
31,-0.41537235010691803,-0.014563779667855669,-0.785776502918452,-0.037372564314864576,-0.30978647572919726,-0.03366527834441513,-0.10998407006263733,-0.0034134555608034134,[0.03315254],1,-60,-60,0.068111785,-6.7071576,-6.860225
32,-0.4311319187963091,-0.015364535212188456,-0.7879784344695508,-0.04003777721663937,-0.31796674570068717,-0.0344543305109255,-0.11829151958227158,-0.0037047311197966337,[0.03312588],1,-60,-60,0.068050005,-6.7071576,-6.860225
33,-0.44710372792833375,-0.016189824949155992,-0.7985904566012323,-0.04126448684837669,-0.32654731487855315,-0.03522630117367953,-0.1269141584634781,-0.004012021701782942,[0.03309595],1,-60,-60,0.06798571,-6.7071576,-6.860225
34,-0.4627614231342159,-0.017008533625535165,-0.7828847602941096,-0.0409354338189587,-0.3353396044112742,-0.03600603237282485,-0.13585622608661652,-0.004335818346589804,[0.03306354],1,-60,-60,0.06791927,-6.7071576,-6.860225
35,-0.4785016167564027,-0.01782252652328225,-0.787009681109339,-0.040699644887354225,-0.34409050131216645,-0.036740087845828384,-0.14511145651340485,-0.004675989039242268,[0.03303069],1,-60,-60,0.06785028,-6.7071576,-6.860225
36,-0.4942680598357402,-0.018675993938136345,-0.7883221539668739,-0.04267337074270472,-0.3526583197526634,-0.037440063373651356,-0.1546814888715744,-0.005032439716160297,[0.0329984],1,-60,-60,0.06777919,-6.7071576,-6.860225
37,-0.5094672001553409,-0.019555871053503326,-0.7599570159800351,-0.04399385576834902,-0.36279812501743436,-0.038143567682709545,-0.16456684470176697,-0.00540595967322588,[0.03296604],1,-60,-60,0.06770601,-6.7071576,-6.860225
38,-0.5243751980112574,-0.02040885930638524,-0.745399892795831,-0.04264941264409572,-0.3724301611073315,-0.03884778276551515,-0.17475618422031403,-0.005797076970338821,[0.03292781],1,-60,-60,0.06763026,-6.7071576,-6.860225
